"","ind_code","ind_name"
"1","A01","Crop and animal production, hunting and related service activities"
"2","A02","Forestry and logging"
"3","A03","Fishing and aquaculture"
"4","B","Mining and quarrying"
"5","C10-C12","Manufacture of food products, beverages and tobacco products"
"6","C13-C15","Manufacture of textiles, wearing apparel and leather products"
"7","C16","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
"8","C17","Manufacture of paper and paper products"
"9","C18","Printing and reproduction of recorded media"
"10","C19","Manufacture of coke and refined petroleum products "
"11","C20","Manufacture of chemicals and chemical products "
"12","C21","Manufacture of basic pharmaceutical products and pharmaceutical preparations"
"13","C22","Manufacture of rubber and plastic products"
"14","C23","Manufacture of other non-metallic mineral products"
"15","C24","Manufacture of basic metals"
"16","C25","Manufacture of fabricated metal products, except machinery and equipment"
"17","C26","Manufacture of computer, electronic and optical products"
"18","C27","Manufacture of electrical equipment"
"19","C28","Manufacture of machinery and equipment n.e.c."
"20","C29","Manufacture of motor vehicles, trailers and semi-trailers"
"21","C30","Manufacture of other transport equipment"
"22","C31_C32","Manufacture of furniture; other manufacturing"
"23","C33","Repair and installation of machinery and equipment"
"24","D35","Electricity, gas, steam and air conditioning supply"
"25","E36","Water collection, treatment and supply"
"26","E37-E39","Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services "
"27","F","Construction"
"28","G45","Wholesale and retail trade and repair of motor vehicles and motorcycles"
"29","G46","Wholesale trade, except of motor vehicles and motorcycles"
"30","G47","Retail trade, except of motor vehicles and motorcycles"
"31","H49","Land transport and transport via pipelines"
"32","H50","Water transport"
"33","H51","Air transport"
"34","H52","Warehousing and support activities for transportation"
"35","H53","Postal and courier activities"
"36","I","Accommodation and food service activities"
"37","J58","Publishing activities"
"38","J59_J60","Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities"
"39","J61","Telecommunications"
"40","J62_J63","Computer programming, consultancy and related activities; information service activities"
"41","K64","Financial service activities, except insurance and pension funding"
"42","K65","Insurance, reinsurance and pension funding, except compulsory social security"
"43","K66","Activities auxiliary to financial services and insurance activities"
"44","L68","Real estate activities"
"45","M69_M70","Legal and accounting activities; activities of head offices; management consultancy activities"
"46","M71","Architectural and engineering activities; technical testing and analysis"
"47","M72","Scientific research and development"
"48","M73","Advertising and market research"
"49","M74_M75","Other professional, scientific and technical activities; veterinary activities"
"50","N","Administrative and support service activities"
"51","O84","Public administration and defence; compulsory social security"
"52","P85","Education"
"53","Q","Human health and social work activities"
"54","R_S","Other service activities"
"55","T","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use"
